0;62.6000000000;-30.8000000000;-58.3000000000;53.9000000000;-64.7000000000;-29.2000000000;18.3000000000;-34.7000000000;-9.2000000000;61.1000000000;8.6000000000;16.5000000000;0.0000000374
1;69.3000000000;-50.6000000000;44.6000000000;-26.5000000000;-45.3000000000;-29.6000000000;-75.3000000000;6.5000000000;52.9000000000;-9.4000000000;31.4000000000;3.3000000000;0.0000000183
2;70.1000000000;-43.7000000000;42.4000000000;-35.1000000000;-45.8000000000;-81.1000000000;-17.8000000000;20.3000000000;-24.3000000000;56.1000000000;16.2000000000;6.5000000000;0.0000000265
3;59.6000000000;-37.9000000000;-66.9000000000;56.7000000000;-14.5000000000;-45.3000000000;-50.2000000000;-6.2000000000;24.4000000000;58.8000000000;-3.6000000000;14.0000000000;0.0000000188
4;69.1000000000;-50.8000000000;44.1000000000;-21.9000000000;-44.6000000000;-54.5000000000;-23.6000000000;74.6000000000;6.8000000000;17.6000000000;35.8000000000;-5.4000000000;0.0000000263
5;59.4000000000;-37.3000000000;-65.7000000000;58.3000000000;-14.9000000000;-52.4000000000;-41.2000000000;17.1000000000;-12.7000000000;60.2000000000;19.8000000000;4.8000000000;0.0000000234
6;69.0000000000;-49.4000000000;43.7000000000;-22.9000000000;-57.3000000000;-39.5000000000;-26.0000000000;76.8000000000;12.2000000000;14.4000000000;36.6000000000;-5.3000000000;0.0000000190
7;60.7000000000;-36.7000000000;-64.1000000000;57.0000000000;-13.9000000000;-54.7000000000;-41.1000000000;21.8000000000;-12.2000000000;59.8000000000;2.4000000000;16.6000000000;0.0000000529
8;68.3000000000;-44.9000000000;44.5000000000;-55.2000000000;-25.9000000000;-21.2000000000;-77.6000000000;-21.8000000000;27.0000000000;50.7000000000;13.6000000000;-0.8000000000;0.0000000203
9;69.7000000000;-43.7000000000;42.6000000000;-44.0000000000;-32.8000000000;-81.5000000000;-5.4000000000;-34.8000000000;25.4000000000;54.7000000000;-1.4000000000;12.0000000000;0.0000000273
10;54.1000000000;-39.3000000000;80.7000000000;-53.8000000000;-23.4000000000;-50.0000000000;33.3000000000;2.9000000000;-27.9000000000;61.7000000000;12.9000000000;9.2000000000;0.0000001086
11;61.0000000000;-32.9000000000;-66.9000000000;52.0000000000;-35.5000000000;-60.1000000000;-14.8000000000;17.3000000000;-24.0000000000;60.6000000000;17.0000000000;8.1000000000;0.0000000270
12;58.7000000000;-32.6000000000;-66.6000000000;56.5000000000;-55.8000000000;-27.3000000000;-4.2000000000;-37.9000000000;17.5000000000;61.1000000000;18.8000000000;1.7000000000;0.0000000368
13;58.4000000000;-38.5000000000;-67.8000000000;58.0000000000;-14.1000000000;-45.4000000000;-48.2000000000;-10.3000000000;19.0000000000;59.6000000000;19.1000000000;-0.2000000000;0.0000000275
14;54.2000000000;-46.7000000000;80.3000000000;-25.4000000000;-41.0000000000;-57.4000000000;32.3000000000;1.9000000000;-25.8000000000;60.5000000000;15.3000000000;7.0000000000;0.0000000188
15;54.3000000000;-46.2000000000;81.0000000000;-25.1000000000;-41.5000000000;-56.6000000000;33.5000000000;5.4000000000;-26.0000000000;60.4000000000;5.1000000000;13.8000000000;0.0000000210
16;71.3000000000;-44.9000000000;45.5000000000;-34.9000000000;-50.6000000000;-2.6000000000;-58.6000000000;62.7000000000;-13.8000000000;4.7000000000;37.9000000000;5.9000000000;0.0000002206
